model,stratum,n,observed_mean,predicted_mean,aggregate_bias_pct
osm_absolute,road_network:MINOR,182,6184.285714285715,8104.130377962602,31.04391925557456
osm_absolute,road_type:DISTRICT DISTRIBUTOR,282,15660.709219858156,16485.03302970088,5.263642905759732
osm_absolute,road_type:EXPRESSWAY,45,73091.11111111111,62970.939424163436,-13.845967769683051
osm_absolute,road_type:LOCAL DISTRIBUTOR,263,7424.448669201521,9573.973860004642,28.951984000103497
osm_absolute,road_type:PRIMARY DISTRIBUTOR,200,29847.75,26066.614006614967,-12.668077136082387
osm_absolute,road_type:RURAL ROAD,24,15765.0,16900.95295677826,7.205537309091399
osm_absolute,road_type:RURAL TRUNK ROAD,7,36290.0,28244.4812217315,-22.170071034082394
osm_absolute,road_type:URBAN TRUNK ROAD,58,71211.55172413793,46410.88100605908,-34.82675228613562
osm_absolute,osm_highway_group:local,138,6414.420289855072,5873.916325992661,-8.42638834747487
osm_absolute,osm_highway_group:motorway,84,58116.42857142857,52016.29639549305,-10.496398911433603
osm_absolute,osm_highway_group:primary,147,32358.231292517008,26787.965630334325,-17.214370006282852
osm_absolute,osm_highway_group:secondary,287,17721.811846689896,17348.219694045103,-2.108092309503748
osm_absolute,osm_highway_group:service,5,39332.0,32963.80208022888,-16.1908825378092
osm_absolute,osm_highway_group:tertiary,168,9754.82142857143,9838.849914886003,0.8614046595302931
osm_absolute,osm_highway_group:trunk,50,58900.0,51888.594133459104,-11.903914883770598
osm_poisson,all,879,23197.11035267349,22204.414488924962,-4.279394496367178
osm_poisson,region:Hong Kong Island,222,20285.99099099099,17640.009084792364,-13.043394859899667
osm_poisson,region:Kowloon,308,23239.83766233766,24151.226342889728,3.9216654341310573
osm_poisson,region:New Territories,349,25011.174785100287,23389.743854816905,-6.482825953658531
osm_poisson,road_network:MAJOR,697,27639.48350071736,25773.303082257724,-6.751864297359987
osm_poisson,road_network:MINOR,182,6184.285714285715,8536.747733139619,38.039348884216494
osm_poisson,road_type:DISTRICT DISTRIBUTOR,282,15660.709219858156,16378.748562009021,4.584973337225187
osm_poisson,road_type:EXPRESSWAY,45,73091.11111111111,62082.74724056678,-15.061152721853833
osm_poisson,road_type:LOCAL DISTRIBUTOR,263,7424.448669201521,10109.232293863288,36.16138711819672
osm_poisson,road_type:PRIMARY DISTRIBUTOR,200,29847.75,29127.55590300029,-2.412892419025589
osm_poisson,road_type:RURAL ROAD,24,15765.0,14227.479811497533,-9.75274461466837
osm_poisson,road_type:RURAL TRUNK ROAD,7,36290.0,25163.838217587396,-30.65902943624306
osm_poisson,road_type:URBAN TRUNK ROAD,58,71211.55172413793,53505.24066496272,-24.8643803294255
osm_poisson,osm_highway_group:local,138,6414.420289855072,6066.960042786526,-5.416861249614134
osm_poisson,osm_highway_group:motorway,84,58116.42857142857,54171.11238242201,-6.788641845321803
osm_poisson,osm_highway_group:primary,147,32358.231292517008,31170.82059148317,-3.66957850786
osm_poisson,osm_highway_group:secondary,287,17721.811846689896,17162.819213685416,-3.1542634457485814
osm_poisson,osm_highway_group:service,5,39332.0,31659.857408351403,-19.506108490919846
osm_poisson,osm_highway_group:tertiary,168,9754.82142857143,9974.92523425381,2.2563591480793987
osm_poisson,osm_highway_group:trunk,50,58900.0,55762.79884129828,-5.326317756709194
osm_squared_error,all,879,23197.11035267349,24086.451834792122,3.8338459773552427
osm_squared_error,region:Hong Kong Island,222,20285.99099099099,18423.034753723972,-9.183461819017662
osm_squared_error,region:Kowloon,308,23239.83766233766,26752.526705094275,15.114946557691574
osm_squared_error,region:New Territories,349,25011.174785100287,25336.100923457063,1.2991238562306393
osm_squared_error,road_network:MAJOR,697,27639.48350071736,28001.47504566162,1.3096899764240044
osm_squared_error,road_network:MINOR,182,6184.285714285715,9093.203604154533,47.037249316428124
osm_squared_error,road_type:DISTRICT DISTRIBUTOR,282,15660.709219858156,17550.245637016425,12.065458790092928
osm_squared_error,road_type:EXPRESSWAY,45,73091.11111111111,63791.673877927446,-12.723075476369354
